Parameter,Description,Type/Hz,Unit
Primus/FEO2,Fraction of expired O2,N,%
Primus/FIN2O,Fraction of expired N2O,N,%
Primus/FIO2,Fraction of inspired O2,N,%
Primus/FLOW_AIR,Flow rate of air,N,mL/min
Primus/FLOW_N2O,Flow rate of N2O,N,mbar
Primus/FLOW_O2,Flow rate of O2,N,mL/min
Primus/INCO2,Inspiratory CO2,N,mmHg
Primus/INSP_DES,Inspiratory desflurane pressure,N,kPa
Primus/INSP_SEVO,Inspiratory sevoflurane pressure,N,kPa
Primus/MAC,Minimum alveolar concentration of volatile,N,unitless
Primus/MAWP_MBAR,Mean airway pressure,N,mbar
Primus/MV,Minute volume,N,L
Primus/PAMB_MBAR,Ambient pressure,N,mbar
Primus/PEEP_MBAR,Positive end expiratory pressure (PEEP),N,mbar
Primus/PIP_MBAR,Peak inspiratory pressure,N,mbar
Primus/PPLAT_MBAR,Plateau pressure,N,mbar
Primus/RR_CO2,Respiratory rate based on capnography,N,/min
Primus/SET_AGE,Patient age,N,years
Primus/SET_FIO2,Set fraction of inspired O2,N,%
Primus/SET_FLOW_TRIG,Set flow trigger value,N,mL/min
Primus/SET_FRESH_FLOW,Set fresh gas flow,N,mL/min
Primus/SET_INSP_PAUSE,Set inspiratory pause,N,%
Primus/SET_INSP_PRES,Set inspiratory pressure,N,mbar
Primus/SET_INSP_TM,Set inspiratory time,N,sec
Primus/SET_INTER_PEEP,Set positive end expiratory pressure (PEEP),N,mbar
Primus/SET_PIP,Set peak inspiratory pressure,N,mbar
Primus/SET_RR_IPPV,Set respiratory rate,N,mbar
Primus/SET_TV_L,Set tidal volume in liter,N,L
Primus/TV,Tidal volume,N,mL
Primus/VENT_LEAK,Ventilator leakage,N,mL/min
Orchestra/AMD_RATE,Infusion rate (amiodarone 2 mg/mL),N,mL/hr
Orchestra/AMD_VOL,Infused volume (amiodarone 2 mg/mL),N,mL
Orchestra/DEX2_RATE,Infusion rate (dexmedetomidine 2 mcg/mL),N,mL/hr
Orchestra/DEX2_VOL,Infused volume (dexmedetomidine 2 mcg/mL),N,mL
Orchestra/DEX4_RATE,Infusion rate (dexmedetomidine 4 mcg/mL),N,mL/hr
Orchestra/DEX4_VOL,Infused volume (dexmedetomidine 4 mcg/mL),N,mL
Orchestra/DOBU_RATE,Infusion rate (dobutamine 2 mg/mL),N,mL/hr
Orchestra/DOBU_VOL,Infused volume (dobutamine 2 mg/mL),N,mL
Orchestra/DOPA_RATE,Infusion rate (dopamine 2 mg/mL),N,mL/hr
Orchestra/DOPA_VOL,Infused volume (dopamine 2 mg/mL),N,mL
Orchestra/DTZ_RATE,Infusion rate (diltiazem 1 mg/mL),N,mL/hr
Orchestra/DTZ_VOL,Infused volume (diltiazem 1 mg/mL),N,mL
Orchestra/EPI_RATE,Infusion rate (epinephrine 20 mcg/mL),N,mL/hr
Orchestra/EPI_VOL,Infused volume (epinephrine 20 mcg/mL),N,mL
Orchestra/FUT_RATE,Infusion rate (futhan 0.5 mg/mL),N,mL/hr
Orchestra/FUT_VOL,Infused volume (futhan 0.5 mg/mL),N,mL
Orchestra/MRN_RATE,Infusion rate (milrinone 200 mcg/mL),N,mL/hr
Orchestra/MRN_VOL,Infused volume (milrinone 200 mcg/mL),N,mL
Orchestra/NEPI_RATE,Infusion rate (norepinephrine 20 mcg/mL),N,mL/hr
Orchestra/NEPI_VOL,Infused volume (norepinephrine 20 mcg/mL),N,mL
Orchestra/NPS_RATE,Infused rate (nitroprusside 0.2 mg/mL),N,mL/hr
Orchestra/NPS_VOL,Infusion volume (nitroprusside 0.2 mg/mL),N,mL
Orchestra/NTG_RATE,Infused rate (nitroglycerine 0.2 mg/mL),N,mL/hr
Orchestra/NTG_VOL,Infusion volume (nitroglycerine 0.2 mg/mL),N,mL
Orchestra/OXY_RATE,Infused rate (oxytocin 0.2 U/mL),N,mL/hr
Orchestra/OXY_VOL,Infusion volume (oxytocin 0.2 U/mL),N,mL
Orchestra/PGE1_RATE,Infused rate (prostaglandin-E1 2 mg/mL),N,mL/hr
Orchestra/PGE1_VOL,Infusion volume (prostaglandin-E1 2 mg/mL),N,mL
Orchestra/PHEN_RATE,Infused rate (phenylephrine 100 mcg/mL),N,mL/hr
Orchestra/PHEN_VOL,Infusion volume (phenylephrine 100 mcg/mL),N,mL
Orchestra/PPF20_CE,Effect-site concentration (propofol 20 mg/mL),N,mcg/mL
Orchestra/PPF20_CP,Plasma concentration (propofol 20 mg/mL),N,mcg/mL
Orchestra/PPF20_CT,Target concentration (propofol 20 mg/mL),N,mcg/mL
Orchestra/PPF20_RATE,Infusion rate (propofol 20 mg/mL),N,mL/hr
Orchestra/PPF20_VOL,Infused volume (propofol 20 mg/mL),N,mL
Orchestra/RFTN20_CE,Effect-site concentration (remifentanil 20 mcg/mL),N,ng/mL
Orchestra/RFTN20_CP,Plasma concentration (remifentanil 20 mcg/mL),N,ng/mL
Orchestra/RFTN20_CT,Target concentration (remifentanil 20 mcg/mL),N,ng/mL
Orchestra/RFTN20_RATE,Infusion rate (remifentanil 20 mcg/mL),N,mL/hr
Orchestra/RFTN20_VOL,Infused volume (remifentanil 20 mcg/mL),N,mL
Orchestra/RFTN50_CE,Effect-site concentration (remifentanil 50 mcg/mL),N,ng/mL
Orchestra/RFTN50_CP,Plasma concentration (remifentanil 50 mcg/mL),N,ng/mL
Orchestra/RFTN50_CT,Target concentration (remifentanil 50 mcg/mL),N,ng/mL
Orchestra/RFTN50_RATE,Infusion rate (remifentanil 50 mcg/mL),N,mL/hr
Orchestra/RFTN50_VOL,Infused volume (remifentanil 50 mcg/mL),N,mL
Orchestra/ROC_RATE,Infusion rate (rocuronium 2 mg/mL),N,mL/hr
Orchestra/ROC_VOL,Infused volume (rocuronium 2 mg/mL),N,mL
Orchestra/VASO_RATE,Infusion rate (vasopressin 0.2 U/mL),N,mL/hr
Orchestra/VASO_VOL,Infused volume (vasopressin 0.2 U/mL),N,mL
Orchestra/VEC_RATE,Infusion rate (vecuronium 1 mg/mL),N,mL/hr
Orchestra/VEC_VOL,Infused volume (vecuronium 1 mg/mL),N,mL
BIS/BIS,Bispectral index value,N,unitless
BIS/EEG1_WAV,EEG wave from channel 1,W/128,uV
BIS/EEG2_WAV,EEG wave from channel 2,W/128,uV
BIS/EMG,Electromyography power,N,dB
BIS/SEF,Spectral edge frequency,N,Hz
BIS/SQI,Signal quality index,N,%
BIS/SR,Suppression ratio,N,%
BIS/TOTPOW,Total power,N,dB
Invos/SCO2_L,Cerebral oxygen saturation (Left),N,%
Invos/SCO2_R,Cerebral oxygen saturation (Right),N,%
Vigileo/CI,Cardiac index,N,L/min/m2
Vigileo/CO,Cardiac output,N,L/min
Vigileo/SV,Stroke volume,N,mL/beat
Vigileo/SVI,Stroke volume index,N,mL/beat/m2
Vigileo/SVV,Stroke volume variation,N,%
EV1000/ART_MBP,Mean arterial pressure,N,mmHg
EV1000/CI,Cardiac index,N,L/min/m2
EV1000/CO,Cardiac output,N,L/min
EV1000/CVP,Central venous pressure wave,N,cmH2O
EV1000/SV,Stroke volume,N,mL/beat
EV1000/SVI,Stroke volume index,N,mL/beat/m2
EV1000/SVR,Systemic vascular resistance,N,dn-s/cm5
EV1000/SVRI,Systemic vascular resistance index,N,dn-s-m2/cm5
EV1000/SVV,Stroke volume variation,N,%
Vigilance/BT_PA,Pulmonary artery temperature,N,℃
Vigilance/CI,Cardiac index,N,L/min/m2
Vigilance/CO,Cardiac output,N,L/min
Vigilance/EDV,End-diastolic volume,N,mL
Vigilance/EDVI,End-diastolic volume index,N,mL/m2
Vigilance/ESV,End-systolic volume,N,mL
Vigilance/ESVI,End-systolic volume index,N,mL/m2
Vigilance/HR_AVG,Average heart rate,N,/min
Vigilance/RVEF,Right ventricular ejection fraction,N,%
Vigilance/SNR,Signal to noise ratio,N,dB
Vigilance/SQI,Signal quality index,N,%
Vigilance/SV,Stroke volume,N,mL/beat
Vigilance/SVI,Stroke volume index,N,mL/beat/m2
Vigilance/SVO2,Mixed venous oxygen saturation,N,%
CardioQ/ABP,Arterial pressure wave,W/180,mmHg
CardioQ/FLOW,Flow wave,W/180,cm/sec
CardioQ/CI,Cardiac index,N,L/min/m2
CardioQ/CO,Cardiac output,N,L/min
CardioQ/FTc,Flow time corrected,N,ms
CardioQ/FTp,Flow time to peak,N,ms
CardioQ/HR,Heart rate,N,/min
CardioQ/MA,Mean acceleration,N,cm/sec2
CardioQ/MD,Minute distance,N,cm
CardioQ/PV,Peak velocity,N,cm/sec
CardioQ/SD,Stroke distance,N,cm
CardioQ/SV,Stroke volume,N,mL/beat
CardioQ/SVI,Stroke volume index,N,mL/beat/m2
FMS/FLOW_RATE,Flow rate,N,mL
FMS/INPUT_AMB_TEMP,Input ambient temperature,N,℃
FMS/INPUT_TEMP,Input fluid temperature,N,℃
FMS/OUTPUT_AMB_TEMP,Output ambient temperature,N,℃
FMS/OUTPUT_TEMP,Output fluid temperature,N,℃
FMS/PRESSURE,Infusion line pressure,N,mmHg
FMS/TOTAL_VOL,Total infused volume,N,mL
